Node,Comunity_ID
0,-1
1061051426,23
83185672,23
473153266,23
2244584796,23
184729817,23
2277828311,23
133447001,23
718036012,23
1354460304,23
4578456569,23
428610062,23
1499347417,23
373287402,23
585391357,23
542488894,23
752010888,23
132810751,23
597453726,23
265385204,23
875752152,23
489722273,23
72379041,23
462829190,23
518934318,23
94788246,23
239572336,23
104135821,23
842378066,23
952525316,23
1392007184,23
845313296,23
1260487207,23
704598502,23
495466998,23
1249499256,23
983253218,23
420538698,23
951236598,23
562823508,23
627251488,23
411011613,23
845951149,23
1640886434,23
1290097460,23
391034680,23
51781061,23
87950192,23
2832335447,23
404088514,23
437704468,23
1051114320,23
1116753012,23
722463098,23
598279585,23
391936827,23
232296285,23
264351373,23
1225691011,23
418218972,23
401648409,23
393342562,23
61419304,23
1068928062,23
552764717,23
249099263,23
1049954743,23
418182783,23
334321591,23
408118133,23
2493142851,23
2301111365,23
50338513,23
405426716,23
14108472,23
270896923,23
96344993,23
372344749,23
482897816,23
268001006,23
493260423,23
8873182,23
7250482,23
449629791,23
381742265,23
1638143131,23
1225991917,23
724723402968276992,23
3042356055,23
1467415374,23
467198533,23
1364383692,23
430437851,23
939421976,23
425686235,23
145702693,23
2388661380,23
380351968,23
486892441,23
44487069,23
125153897,23
1060584542,23
79814913,23
2150969605,23
1331997265,23
776897408143912960,23
7844932,23
593101773,23
31093748,23
209891777,23
455042529,23
2230228079,23
484982241,23
102672182,23
534425432,23
98732981,23
400755376,23
70380540,23
51836146,23
393895340,23
602903174,23
1725558426,23
402997564,23
3086030505,23
191490413,23
701220226,23
339672122,23
586568738,23
110281337,23
164225784,23
223899265,23
30656303,23
483304757,23
395990396,23
338695167,23
229804443,23
1128365564,23
318988340,23
2767985158,23
14210150,23
2894775544,23
169248718,23
195787575,23
108869321,23
395179479,23
629334187,23
1307016348,23
439908934,23
534891036,23
1462996453,23
4871676707,23
1344040164,23
319735845,23
139055024,23
405919398,23
233963729,23
329516948,23
430690927,23
851471263,23
410942770,23
2260660337,23
2780443681,23
389122971,23
915566532,23
418259535,23
2207984680,23
391955295,23
1334810558,23
303354087,23
352314354,23
512049031,23
481457729,23
444510706,23
1257848173,23
246089683,23
2176449613,23
421986520,23
418863047,23
504661653,23
293634665,23
63722830,23
541824556,23
35804051,23
17648551,23
46715834,23
57052200,23
1310229355,23
2691410693,23
394787464,23
542691406,23
197940697,23
2835184227,23
2429092036,23
432708990,23
1197644424,23
3975122236,23
4114741037,23
916326246,23
216361540,23
995017814,23
391379955,23
2386835695,23
282752093,23
1913153286,23
937781161,23
56064083,23
591963862,23
40877771,23
708653772030001152,23
386983041,23
587805027,23
3165917453,23
68182390,23
343428085,23
577337366,23
67314908,23
328472277,23
438176540,23
526552069,23
129455752,23
416923575,23
33982163,23
30632987,23
473967210,23
229753610,23
491327107,23
450957612,23
38139984,23
900598639,23
1870754606,23
110091649,23
740031002,23
481359440,23
2347274438,23
83622909,23
83367663,23
140169198,23
460042639,23
468742060,23
479575055,23
201412456,23
14569308,23
492065435,23
513352329,23
4624496368,23
321968756,23
75881487,23
2838050620,23
1085581699,23
243394042,23
3099708933,23
82673876,23
88254217,23
2589077888,23
371820912,23
253262674,23
431454179,23
140133595,23
497008760,23
431089246,23
874129596,23
43503218,23
906349453,23
459308081,23
440152678,23
97281454,23
763885171,23
413010349,23
349746542,23
414646088,23
495059879,23
374509955,23
791521154,23
482783302,23
854501780,23
1568383296,23
389131517,23
416466936,23
438353555,23
120389213,23
2174535898,23
414198874,23
1021306837,23
3094759553,23
947689230,23
334658624,23
970440781,23
2313205890,23
104239528,23
320246595,23
275805969,23
480612566,23
2920441331,23
3129948658,23
1102070556,23
385965801,23
966123451,23
474657743,23
2651374166,23
225105585,23
548616993,23
547050389,23
117734700,23
274915400,23
1002869839,23
2532491303,23
1535003959,23
306396502,23
1344131071,23
18616891,23
