397249341,  PeppeRosa88, 14, 14, 0, yes
2322998168,  BVito5S, 79, 72, 7, yes
9476932,  InnovateEurope, 79, 76, 3, yes
478894165,  PietroDiGirolam, 3, 3, 0, yes
2970117851,  senzacensura73, 38, 27, 11, yes
2709720835,  IdoneiGdF2012, 16, 16, 0, yes
772076870582042625,  driano84, 11, 11, 0, yes
876660793,  SalBullotta, 17, 17, 0, yes
1048569343,  LianoAuletta, 26, 24, 2, yes
738775045347119108,  hugosweb, 13, 8, 5, yes
3063738106,  menelaolemanine, 204, 109, 95, yes
968615264,  TiziCip, 7, 6, 1, yes
215278944,  Okosama_Starr, 49, 43, 6, yes
753265543633899520,  ProfCeli1, 19, 18, 1, yes
575437784,  angelinabiz, 48, 30, 18, yes
575138798,  francesca58361, 41, 30, 11, yes
2359832450,  ilarioneri, 45, 30, 15, yes
1385223960,  ManuPalo67, 614, 427, 187, yes
1658117701,  tommasosauro, 32, 31, 1, yes
817413728,  DavideGiac, 3, 3, 0, yes
2858721511,  enricoseidue, 27, 25, 2, yes
1190659814,  fabryegio, 271, 176, 95, yes
1039860102,  AndreaManzullo, 17, 13, 4, yes
489656804,  BenedettaCasu, 54, 54, 0, yes
4702133172,  EugenioCardi, 215, 117, 98, yes
464862115,  CorroAndrea, 4, 3, 1, yes
3336455937,  CastaldiniMc, 88, 50, 38, yes
461088423,  FabriBracco64, 69, 54, 15, yes
136342937,  dinoprrj22, 45, 43, 2, yes
2248562482,  ferroliroby, 42, 42, 0, yes
3360210892,  Aldoasgg, 36, 33, 3, yes
503455114,  ALFONSODiego669, 24, 22, 2, yes
1260162366,  profilocriminal, 24, 19, 5, yes
591144361,  Cortez1958, 109, 109, 0, yes
1226056380,  casadasburgo, 14, 10, 4, yes
722050091624833024,  AlessaM1986, 928, 680, 248, yes
4621068317,  andsavandsav, 131, 112, 19, yes
243545857,  pimma77, 13, 7, 6, yes
2589077888,  stomei67, 5, 5, 0, yes
464955653,  ErikaIntrisano, 7, 7, 0, yes
150707800,  filippopieri, 6, 6, 0, yes
183287158,  angelinascanu, 696, 616, 80, yes
2180128512,  froma01k, 73, 69, 4, yes
1205137098,  RitaMarcigaglia, 4, 4, 0, yes
4063913308,  crisfontana481, 21, 17, 4, yes
710440429,  _DCarrera, 7, 7, 0, yes
273316238,  massimo_fares, 33, 20, 13, yes
1109369214,  ciampicuc, 6, 5, 1, yes
1252659014,  Lau539, 6, 4, 2, yes
898297518,  Hibbing59, 30, 26, 4, yes
1054906759,  santangeloitalo, 27, 27, 0, yes
3072009003,  antignani_l, 202, 177, 25, yes
711908751209537536,  bohmahforse, 9, 5, 4, yes
43503218,  FComellini, 158, 103, 55, yes
2608779441,  BGrisafi, 128, 124, 4, yes
1170081618,  Anton1oM, 7, 5, 2, yes
2224402028,  Equinsuocha2, 10, 8, 2, yes
720897240366194688,  MiDispiaceNO, 91, 88, 3, yes
799504971502944257,  Fabio_AZ4737, 125, 67, 58, yes
294482809,  SorMarchese78, 47, 42, 5, yes
2719244173,  ElPiotta, 108, 61, 47, yes
2734867583,  davide_xbxb, 11, 11, 0, yes
1128501696,  taniadigennaro, 5, 5, 0, yes
1228211810,  markor988, 11, 11, 0, yes
3292795744,  alessiabrunett, 11, 11, 0, yes
2760582813,  LindaRandisi, 14, 14, 0, yes
3291848025,  giomorpheus87, 5, 5, 0, yes
557127139,  HURRACANES, 45, 33, 12, yes
498062460,  AjejeBrazorf6, 12, 8, 4, yes
121424128,  La7tv, 81, 42, 39, yes
2530226425,  StefaniaBlandam, 13, 13, 0, yes
255047902,  GiuseppeRoma, 78, 60, 18, yes
1128723278,  winnerinyou, 19, 18, 1, yes
2409382352,  RicciolaSicula, 26, 22, 4, yes
2411144520,  tamara60831262, 14, 12, 2, yes
2407351214,  Simona70653259, 6, 6, 0, yes
534607014,  RosaP184, 7, 6, 1, yes
4155402466,  budax81, 13, 12, 1, yes
482405981,  lollinac73, 44, 39, 5, yes
2543538403,  FedericoRuysch2, 11, 10, 1, yes
2532567086,  PatriziaVerz, 9, 8, 1, yes
925583479,  TeresaLoprete1, 49, 36, 13, yes
2435476444,  pistucc, 22, 21, 1, yes
1150606010,  ombrettacianti, 22, 19, 3, yes
380243648,  Mollica71, 3, 3, 0, yes
2857247674,  pierapanichelle, 5, 4, 1, yes
2437524017,  NataliPatty, 30, 22, 8, yes
783227203433664512,  CodiceConcorsi, 26, 26, 0, yes
116871279,  Parmigiani_S, 36, 27, 9, yes
2718407860,  AndreaLucciL7, 5, 5, 0, yes
2373624002,  RegioneLazio, 42, 42, 0, yes
2497838698,  fortunatolino, 226, 174, 52, yes
1173010872,  GentaPaolo, 4, 4, 0, yes
89651876,  luigipiva, 43, 43, 0, yes
1066131648,  MARCOLODICO1, 8, 8, 0, yes
296499025,  CONDURSO, 17, 13, 4, yes
3392585361,  jungle1970, 64, 47, 17, yes
2217674274,  cstambul, 105, 56, 49, yes
2165771,  mrmcphisto, 15, 12, 3, yes
352321483,  marco_tinti, 9, 9, 0, yes
22659500,  mauriziosantin, 351, 346, 5, yes
13294452,  pdnetwork, 244, 241, 3, yes
773929798192300032,  AlbertoForesti3, 418, 409, 9, yes
257953952,  CinziaEmanuelli, 126, 87, 39, yes
489312732,  ocagiulietta, 16, 14, 2, yes
1269116011,  TananbaumMinnie, 9, 9, 0, yes
1145584326,  Francesco__78, 38, 25, 13, yes
1642762838,  marybrunb3, 24, 24, 0, yes
1331086867,  51fini, 154, 114, 40, yes
348323243,  willkingly, 33, 23, 10, yes
2835100096,  francoG101, 7, 4, 3, yes
800817923606528004,  bester_64, 10, 7, 3, yes
1056454514,  MimmoFiori55, 7, 5, 2, yes
2391652852,  alloggio73, 27, 26, 1, yes
479764945,  traveler_69, 12, 11, 1, yes
1036983026,  Abaddon333ROCCO, 53, 49, 4, yes
458458943,  WESTADRIANO, 12, 7, 5, yes
465753888,  GAcquistapace, 215, 148, 67, yes
435173619,  LuigiRuggerone, 141, 81, 60, yes
2585597700,  marpa64, 56, 33, 23, yes
22252395,  desnos_bob, 6, 5, 1, yes
986431795,  MauroLosapio, 10, 10, 0, yes
1381899780,  fepolidori, 8, 6, 2, yes
1409217584,  fabiotermentini, 21, 17, 4, yes
460049464,  ValentinoColdan, 5, 4, 1, yes
473994961,  MassimoLazzaro, 15, 15, 0, yes
1018268425,  BudinoIl, 4, 4, 0, yes
1897585116,  RosMiki81, 57, 40, 17, yes
206419028,  venvela, 5, 3, 2, yes
3052197933,  _StefanoPuglisi, 3, 3, 0, yes
2719760326,  MarziaLoreti, 112, 100, 12, yes
2511809006,  vettavi, 9, 9, 0, yes
49709806,  giatav, 15, 9, 6, yes
23295072,  fabioottouno, 10, 9, 1, yes
486456375,  marcovarini, 53, 38, 15, yes
