Node,Cluster
393342562,1
482897816,1
169248718,1
229753610,1
491327107,1
389131517,1
546791475,1
481567489,1
10438412,1
594777484,1
65866093,1
488772562,1
344753854,1
453434150,1
1077110826,1
754957121201004544,1
252822331,1
2716739703,1
148518511,1
85629903,1
57282569,1
9234892,1
335241668,1
414926221,1
385890505,1
25105210,1
1070732071,1
441651345,1
42113491,1
1291656504,1
90845433,1
491362972,1
31107308,1
953901380,1
991446290,1
426038482,1
39975495,1
439397412,1
2390747907,1
13307732,1
1385237533,1
784398647471595520,1
471846501,1
26471908,1
460611317,1
24150879,1
315206594,1
719080627757322240,1
2984502441,1
24026780,1
702242905692438528,1
318575239,1
131486385,1
299780153,1
519529163,1
236332690,1
55238295,1
1368850908,1
87306292,1
415618260,1
251524754,1
2366461149,1
486583213,1
1627870369,1
728804562,1
192886030,1
29045944,1
9055772,1
118053242,1
484771907,1
51720974,1
506387757,1
453044594,1
1915200546,1
1144953769,1
448732675,1
1849672393,1
324262863,1
3510108957,1
2421023606,1
22011746,1
1681073648,1
513144334,1
392656492,1
313535823,1
3898463973,1
500748464,1
493524331,1
98212000,1
1556491195,1
1084193910,1
2975094340,1
55527972,1
452970006,1
6831142,1
1250202577,1
387198659,1
535447658,1
2154746892,1
773074386,1
2811521884,1
336770410,1
365462238,1
400630735,1
1694413363,1
278503793,1
13727692,1
1103812855,1
1036560565,1
2544005815,1
1084360147,1
124236178,1
140772582,1
1172520133,1
258062486,1
1088806153,1
489540781,1
79991599,1
927916422,1
39115395,1
405384428,1
436640636,1
2751256629,1
76786936,1
478894654,1
19067940,1
500882938,1
1886063070,1
3337657533,1
304681933,1
585391357,1
1638143131,1
391379955,1
56392390,1
1449796104,1
402819013,1
57060570,1
462701585,1
915969295,1
335249305,1
325564671,1
448088280,1
518549338,1
542327855,1
432603093,1
53052632,1
160011017,1
1333864027,1
19531637,1
2883998483,1
61227039,1
1962856872,1
2430631222,1
13728662,1
1254324948,1
2876741794,1
45522065,1
1065081188,1
915191390,1
127025568,1
581881187,1
236565724,1
93591010,1
1071485604,1
483384295,1
590188450,1
2366997321,1
2431061097,1
347497240,1
590833841,1
1081169252,1
2612652422,1
379262450,1
624603613,1
1154188134,1
202113803,1
2616680851,1
561375612,1
2302888393,1
6820052,1
414634390,1
634434387,1
517876006,1
409512109,1
2511025017,1
3047887129,1
1684754797,1
232559332,1
107517248,1
549451829,1
1053096115,1
2961865803,1
42662635,1
329166379,1
1853678790,1
54988878,1
353160476,1
311539656,1
739140549299568640,1
2872007299,1
61765111,1
116417727,1
7912442,1
599940695,1
2375661338,1
1290097460,1
2493142851,1
449629791,1
1364383692,1
430437851,1
425686235,1
164225784,1
4114741037,1
591963862,1
460042639,1
519335913,1
4726174575,1
76615199,1
321313255,1
714417878,1
